naam;hoeveelheid;prijs;aanbieding
Eat Natural Protein packed met pinda's en chocolade 3 stuks;Per pak;2.72;
Echt Lekker Chocolade stixx;75 g;1.29;
Echte Enkhuizer Glacé original;4 stuks;0.81;
Echte Enkhuizer Glacé petit fondants;6 stuks;0.95;
Echte Enkhuizer Jodekoek chocolade;363 g;1.49;
Echte Enkhuizer Jodekoek roomboter;372 g;1.39;
Echte Enkhuizer Jodekoeken kaneel;323 g;1.49;
Echte Enkhuizer Kokos jodekoeken;318 g;1.85;
Euro Patisserie Mergpijp reuze;350 g;0.86;
Gooskens Appelkoeken;6 stuks;0.59;
Gooskens Biscuits veelkoren;300 g;0.49;
Gooskens Biscuits chocolade;125 g;0.69;
Gooskens Boerencake;600 g;0.96;
Gooskens Gevulde koeken;8 stuks;0.55;
Gooskens Krakelingen;300 g;1.45;
Gooskens Marie biscuit;2 x 200 g;0.55;
Gooskens Melkbiscuits;6 x 2 stuks;1.09;
Gooskens Pennywafels;150 g;0.45;
Gooskens Roze koeken;330 g;0.95;
Gull Panchito's wit;150 g;0.99;
Gustini Chocoboy;10 stuks;1.69;
Gustini Fruitboy aardbeien;10 stuks;1.69;
Hellema Buurtkoekjes buurman & buurman;6 x 2 stuks;1.18;
Hellema Chokick vanille;180 g;0.85;
Hero B'tween melk chocolade repen;6 stuks;1.19;
Hero B'tween kokos repen 6 stuks;150 g;1.19;
Hero B'tween pinda pindakaas;150 g;1.32;
Hero B'tween hazelnoot;150 g;1.23;
Kanjers Chocowafels wit;180 g;0.99;
Kanjers Chocowafels;4 stuks;0.99;
Kanjers Haage hopjes toefzak;400 g;1.74;
Kanjers Salted caramel;400 g;1.86;
Kanjers Stroopwafels;4 x 2 koekjes;0.99;
Kanjers Stroopwafels;10 stuks;1.49;
Knoppers Minis melk chocolade wafels;200 g;1.87;
Liga Belvita meergranen;300 g;2.08;
Liga Belvita honing & hazelnoot;300 g;2.06;
Liga Belvita chocolade 6 x 4 stuks;300 g;2.09;
Liga Evergreen appel;6 x 2 stuks;1.59;
Liga Evergreen krenten;6 x 2 stuks;1.49;
Liga Evergreen bosvruchten;6 x 2 stuks;1.55;
Liga Evergreen crunchy muesli choco;225 g;1.89;
Liga Haverkick appel 6x1;200 g;1.73;
Liga Haverkick bosvruchten 6 stuks;200 g;1.72;
Liga Haverrepen honing 6 stuks;168 g;2.18;
Liga Haverrepen kokos 6 stuks;168 g;2.18;
Liga Milkbreak bosvruchten & framboos;245 g;1.97;
Liga Milkbreak melk en aardbei;6 x 2 stuks;1.77;
Liga Milkbreak melk;6 x 2 stuks;1.87;
Lindemulder Indische cake;445 g;0.99;
Lotus Cakejes mini Madeleine;119 g;1.18;
Lotus Dinosaurus mini chocolade;150 g;1.79;
Lotus Dinosaurus mini granen;150 g;1.69;
Lotus Mini vanille wafels;8 stuks;1.59;
Lotus Speculoos;250 g;1.19;
Lotus Speculoos koffieleutjes 12 x 2 stuks;300 g;1.39;
Lotus Speculoos met chocolade 7 x 3 stuks;154 g;1.42;
Lotus Speculoos rolls;150 g;1.59;
Lu Bastogne original;260 g;1.36;
Lu Pims cake sinaasappel chocolade;150 g;1.59;
Lu Scholiertje melk;150 g;1.89;
Lu Time out speculaas;6 x 2 stuks;1.36;
Lu Time out naturel;6 x 2 stuks;1.35;
Lu Time out hazelnoot 6 stuks;171 g;1.36;
Lu Time out chocolade;6 x 2 stuks;1.21;
Merba Brownie cookies;200 g;0.79;
Merba Chocolate cookies;200 g;0.63;
Merba Rainbowcookies;150 g;0.79;
Milka Cake & choco;5 stuks;1.72;
Milka Choc & choc;175 g;1.85;
Milka Choco brownie;150 g;1.89;
Milka Chocowafel melk;6 stuks;1.87;
Milka Chocowafel wit;6 stuks;1.89;
Milka Melo cakes;200 g;1.69;
Millenaar Marmer cake;400 g;1.29;
Millenaar Naturel cake;400 g;1.29;
Millenaar Stracciatellacake;400 g;1.29;
Muesli+ Chocolade hazelnoot mueslirepen 8 stuks;184 g;0.88;
Muesli+ Mueslireep hazelnoot;8 stuks;0.86;
Non Stop! Mini double chocolate cookies;125 g;0.85;
Nora Disco biscuit;150 g;1.45;
Oreo Classic;10 x 2 stuks;1.87;
Oreo Classic;154 g;1.18;
Oreo Crispy thin chocolade;192 g;1.78;
Oreo Double 6 x 2 stuks;170 g;1.53;
Oreo Double crème roll;157 g;1.18;
Oreo Milk choco;6 x 2 stuks;1.67;
Oreo Mini cookies beker;115 g;1.27;
Oreo Strawberry cheesecake;154 g;1.23;
Oreo White choc;6 x 2 stuks;1.87;
Pally Biscuits kaneel met honing;240 g;0.67;
Pally Haverbiscuit melk;300 g;1.15;
Pally Haverbiscuit naturel;300 g;0.99;
Pally Tarwe biscuit meergranen;450 g;0.69;
Pally Theebiscuits;240 g;0.35;
Patria Mini wafer;160 g;0.99;
Peijnenburg Zero 6 stuks;216 g;1.84;
Punselies Stroopkoekjes original;200 g;1.37;
Pure Ambacht Citroen fudge cake;400 g;2.89;
Pure Ambacht Gevulde speculaas;2 plakken;2.99;
Quaker Havermout break banaan & pecannoot;135 g;1.85;
Quaker Havermoutreep chocolade 5 stuks;175 g;1.89;
Quaker Havermoutrepen golden syrup;5 stuks;1.83;
Smoeltjes Smoeltjes speculaas;200 g;1.32;
